Country,Localite,Category,Value,Date
Guinea,National,Cases,328,06/01/14
Guinea,National,Confirmed cases,208,06/01/14
Guinea,National,Deaths,193,06/01/14
Guinea,Telimele,Cases,22,06/01/14
Guinea,Telimele,Deaths,5,06/01/14
Sierra Leone,Bo,Cases,13,06/01/14
Sierra Leone,Bo,Deaths,0,06/01/14
Sierra Leone,Bombali,Cases,1,06/01/14
Sierra Leone,Bombali,Deaths,0,06/01/14
Sierra Leone,Freetown,Cases,5,06/01/14
Sierra Leone,Freetown,Deaths,0,06/01/14
Sierra Leone,Kailahun,Cases,41,06/01/14
Sierra Leone,Kailahun,Deaths,6,06/01/14
Sierra Leone,Kenema,Cases,3,06/01/14
Sierra Leone,Kenema,Deaths,0,06/01/14
Sierra Leone,Koinadugu,Cases,2,06/01/14
Sierra Leone,Koinadugu,Deaths,0,06/01/14
Sierra Leone,Moyamba,Cases,1,06/01/14
Sierra Leone,Moyamba,Deaths,0,06/01/14
Sierra Leone,National,Cases,79,06/01/14
Sierra Leone,National,Confirmed cases,18,06/01/14
Sierra Leone,National,Deaths,6,06/01/14
Liberia,Bong County,Cases,1,06/02/14
Liberia,Lofa County,Cases,8,06/02/14
Liberia,Margibi County,Cases,2,06/02/14
Liberia,National,Cases,13,06/02/14
Liberia,National,Confirmed cases,6,06/02/14
Liberia,National,Deaths,10,06/02/14
Liberia,Nimba County,Cases,2,06/02/14
Guinea,Boffa,Cases,7,06/03/14
Guinea,Boffa,Deaths,4,06/03/14
Guinea,Conakry,Cases,65,06/03/14
Guinea,Conakry,Deaths,27,06/03/14
Guinea,Dabola ,Cases,4,06/03/14
Guinea,Dabola ,Deaths,4,06/03/14
Guinea,Dinguiraye ,Cases,1,06/03/14
Guinea,Dinguiraye ,Deaths,1,06/03/14
Guinea,Gueckedou,Cases,193,06/03/14
Guinea,Gueckedou,Deaths,143,06/03/14
Guinea,Kissidougou,Cases,7,06/03/14
Guinea,Kissidougou,Deaths,5,06/03/14
Guinea,Macenta,Cases,44,06/03/14
Guinea,Macenta,Deaths,26,06/03/14
Guinea,National,Cases,344,06/03/14
Guinea,National,Confirmed cases,207,06/03/14
Guinea,National,Deaths,215,06/03/14
Guinea,Telimele,Cases,23,06/03/14
Guinea,Telimele,Deaths,5,06/03/14
Guinea,Boffa,Cases,7,06/05/14
Guinea,Boffa,Deaths,6,06/05/14
Guinea,Conakry,Cases,67,06/05/14
Guinea,Conakry,Deaths,29,06/05/14
Guinea,Dabola ,Cases,4,06/05/14
Guinea,Dabola ,Deaths,4,06/05/14
Guinea,Dinguiraye ,Cases,1,06/05/14
Guinea,Dinguiraye ,Deaths,1,06/05/14
Guinea,Gueckedou,Cases,194,06/05/14
Guinea,Gueckedou,Deaths,146,06/05/14
Guinea,Kissidougou,Cases,7,06/05/14
Guinea,Kissidougou,Deaths,5,06/05/14
Guinea,Kouroussa,Cases,1,06/05/14
Guinea,Kouroussa,Deaths,1,06/05/14
Guinea,Macenta,Cases,45,06/05/14
Guinea,Macenta,Deaths,27,06/05/14
Guinea,National,Cases,351,06/05/14
Guinea,National,Confirmed cases,210,06/05/14
Guinea,National,Deaths,226,06/05/14
Guinea,Telimele,Cases,25,06/05/14
Guinea,Telimele,Deaths,7,06/05/14
Sierra Leone,National,Cases,81,06/05/14
Sierra Leone,National,Confirmed cases,31,06/05/14
Sierra Leone,National,Deaths,6,06/05/14
Sierra Leone,National,Cases,89,06/06/14
Sierra Leone,National,Confirmed cases,33,06/06/14
Sierra Leone,National,Deaths,7,06/06/14
Liberia,Bong County,Cases,1,06/07/14
Liberia,Lofa County,Cases,9,06/07/14
Liberia,Margibi County,Cases,2,06/07/14
Liberia,National,Cases,14,06/07/14
Liberia,National,Confirmed cases,7,06/07/14
Liberia,National,Deaths,10,06/07/14
Liberia,Nimba County,Cases,2,06/07/14
Liberia,Lofa County,Cases,11,06/09/14
Liberia,Margibi County,Cases,2,06/09/14
Liberia,National,Cases,16,06/09/14
Liberia,Bong County,Cases,1,06/11/14
Liberia,Lofa County,Cases,20,06/11/14
Liberia,Margibi County,Cases,2,06/11/14
Liberia,Montserrado County,Cases,5,06/11/14
Liberia,National,Cases,30,06/11/14
Liberia,National,Confirmed cases,11,06/11/14
Liberia,National,Deaths,15,06/11/14
Liberia,Nimba County,Cases,2,06/11/14
Liberia,Bong County,Cases,1,06/13/14
Liberia,Lofa County,Cases,20,06/13/14
Liberia,Margibi County,Cases,2,06/13/14
Liberia,Montserrado County,Cases,6,06/13/14
Liberia,National,Cases,31,06/13/14
Liberia,National,Confirmed cases,16,06/13/14
Liberia,National,Deaths,17,06/13/14
Liberia,Nimba County,Cases,2,06/13/14
Guinea,Boffa,Cases,19,06/16/14
Guinea,Boffa,Deaths,10,06/16/14
Guinea,Conakry,Cases,70,06/16/14
Guinea,Conakry,Deaths,33,06/16/14
Guinea,Dabola ,Cases,4,06/16/14
Guinea,Dabola ,Deaths,4,06/16/14
Guinea,Dinguiraye ,Cases,1,06/16/14
Guinea,Dinguiraye ,Deaths,1,06/16/14
Guinea,Gueckedou,Cases,224,06/16/14
Guinea,Gueckedou,Deaths,173,06/16/14
Guinea,Kissidougou,Cases,8,06/16/14
Guinea,Kissidougou,Deaths,5,06/16/14
Guinea,Kouroussa,Cases,1,06/16/14
Guinea,Kouroussa,Deaths,1,06/16/14
Guinea,Macenta,Cases,41,06/16/14
Guinea,Macenta,Deaths,28,06/16/14
Guinea,National,Cases,398,06/16/14
Guinea,National,Confirmed cases,254,06/16/14
Guinea,National,Deaths,264,06/16/14
Guinea,Telimele,Cases,30,06/16/14
Guinea,Telimele,Deaths,9,06/16/14
Liberia,Lofa County,Cases,21,06/16/14
Liberia,Lofa County,Deaths,8,06/16/14
Liberia,Margibi County,Cases,2,06/16/14
Liberia,Margibi County,Deaths,2,06/16/14
Liberia,Montserrado County,Cases,8,06/16/14
Liberia,Montserrado County,Deaths,8,06/16/14
Liberia,National,Cases,33,06/16/14
Liberia,National,Confirmed cases,18,06/16/14
Liberia,National,Deaths,24,06/16/14
Liberia,Nimba County,Cases,2,06/16/14
Liberia,Nimba County,Deaths,0,06/16/14
Sierra Leone,Kailahun,Cases,92,06/17/14
Sierra Leone,Kailahun,Deaths,46,06/17/14
Sierra Leone,Kambia,Cases,1,06/17/14
Sierra Leone,Kambia,Deaths,0,06/17/14
Sierra Leone,Kono,Cases,1,06/17/14
Sierra Leone,Kono,Deaths,0,06/17/14
Sierra Leone,National,Cases,97,06/17/14
Sierra Leone,National,Confirmed cases,92,06/17/14
Sierra Leone,National,Deaths,49,06/17/14
Sierra Leone,Port Loko,Cases,2,06/17/14
Sierra Leone,Port Loko,Deaths,1,06/17/14
Sierra Leone,Western Area,Cases,1,06/17/14
Sierra Leone,Western Area,Deaths,1,06/17/14
Guinea,Boffa,Cases,18,06/18/14
Guinea,Boffa,Deaths,12,06/18/14
Guinea,Conakry,Cases,64,06/18/14
Guinea,Conakry,Deaths,33,06/18/14
Guinea,Dabola ,Cases,4,06/18/14
Guinea,Dabola ,Deaths,4,06/18/14
Guinea,Dinguiraye ,Cases,1,06/18/14
Guinea,Dinguiraye ,Deaths,1,06/18/14
